geo,name,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
aze,Azerbaijan,4309.47957,4444.60843,4608.9365,4940.42419,5348.4234,5390.7684,5725.57093,5591.94723,6044.16273,6307.08823,6401.32006,6189.23517,6925.49287,7261.71523,7561.57323,7848.62724,8261.80518,8336.61071,8932.64215,9119.59231,9120.76487,9835.94452,9867.42726,9899.01076,9930.69536,9962.48138,9994.36914,10026.35896,10058.45117,10527.83169,11020.8867,11286.88313,11794.78388,12089.21749,12252.83037,12738.3,13226.38136,11955.24193,10510.32985,10340.09016,7913.26922,6014.37323,4779.6486,4166.54567,4199.58193,4434.00156,4808.12125,5157.74366,5652.91901,6148.07154,6679.78178,7318.7397,7940.9474,10056.51613,13382.80963,16603.11847
bdi,Burundi,765.04365,777.60728,800.78207,805.64367,815.13633,825.6233,827.72789,854.1272,844.3823,701.99906,742.49548,759.34796,779.71348,785.82193,793.34186,854.93118,825.3111,793.18894,969.33498,975.55778,916.71227,965.72778,941.86094,917.35684,986.47641,1044.95147,1060.97171,1034.03474,975.87089,1103.36664,1098.61817,1127.91475,1119.67373,1238.92647,1262.6674,1308.03219,1364.226,1380.74876,1425.29552,1462.28611,1435.73604,1383.12394,1329.26863,1155.95167,1052.81204,1032.46566,1057.25872,1019.60248,988.06467,982.29729,996.91237,954.10637,963.73197,937.35638,953.30578,950.63619
bel,Belgium,11467.43997,11723.09729,12103.47846,12523.94384,12759.27487,12850.51355,12676.82094,12959.59157,13587.61433,14123.60805,14710.366,15184.77714,16039.78761,16388.84663,16720.57572,17207.50348,17816.06211,18842.56847,19910.4411,20500.62546,21413.96738,22562.7077,23345.2286,22878.96868,24022.03352,24031.13815,24573.90976,25009.90596,25986.23388,27077.86197,28258.56039,28922.87452,30271.1572,31278.09864,32212.2473,33481.60781,35872.00957,37970.03825,40148.03257,40822.36832,41370.09007,40899.4883,42177.99937,43182.34357,43779.28736,45411.82304,46293.93388,47915.4281,49661.30813,50107.04562,50830.50141,51220.07901,52915.96859,53931.0984,55036.00936,56730.34608
ben,Benin,1952.27271,1850.66677,1856.2188,1807.68774,1760.86632,1714.51727,1730.12555,1746.70086,1765.88782,1763.29678,1654.45246,1685.87749,1734.48139,1771.12698,1780.05087,1781.26343,1804.77459,1822.38057,1803.2995,1789.15788,1907.7465,1933.00661,2005.02904,1812.22597,1782.48399,1803.12229,1739.04731,1819.92257,1927.36478,2026.93707,2137.92676,2052.2944,2092.89917,2173.85368,2181.38152,2103.46995,2150.31694,2093.15404,2265.51561,2280.34509,2267.92908,2287.21359,2237.31181,2331.84615,2361.07415,2417.12064,2430.76444,2477.33555,2538.05058,2588.96065,2624.71693,2631.44771,2663.81673,2623.1785,2643.19254,2720.93466
bfa,Burkina Faso,934.73993,946.72335,961.78369,975.27481,991.73355,1005.50293,1021.05922,1036.16418,1036.94726,1004.93057,1042.04929,1005.39721,1004.88102,1001.65336,979.63109,1038.55184,1049.07612,1040.70261,1021.76542,1011.61414,1100.33007,1013.74431,999.80885,961.6828,924.30303,959.13509,1036.2772,1010.12163,992.57328,1044.21842,1063.66934,1039.48677,1043.33889,1151.05601,1243.78725,1209.78488,1273.29308,1275.81085,1255.67978,1317.22312,1271.21462,1266.9269,1236.8505,1260.91111,1351.69962,1388.41119,1438.63366,1490.29767,1464.85074,1505.71542,1514.50187,1575.74865,1590.67361,1670.88941,1717.69219,1732.62043
bgd,Bangladesh,1211.28926,1212.25888,1216.01191,1133.04933,1231.9718,1189.33833,1147.84093,1186.80026,1233.99406,1247.64848,1249.0481,1330.88706,1315.30795,1328.01562,1325.15467,1252.01908,1321.18493,1322.77936,1371.21622,1274.24863,1091.25542,1089.93658,1189.03048,1134.77014,1166.83192,1155.93461,1205.4338,1229.43025,1206.12303,1282.71697,1325.03737,1385.49295,1459.86154,1504.68649,1557.47419,1610.52954,1654.24149,1710.01363,1829.34738,1873.55186,1948.11327,2016.52094,2076.63758,2159.53526,2236.20935,2315.05622,2406.18874,2491.55771,2594.17073,2696.53287,2775.91996,2883.41361,3009.80039,3179.34961,3365.82922,3576.82402
bgr,Bulgaria,3473.73416,3779.06592,3625.93913,3798.86269,3717.13676,4020.01296,4274.2626,4517.43641,4841.60394,5044.83638,5344.09974,5475.4497,5786.41539,6017.33973,6367.6183,6586.90107,6578.74986,6762.0467,7012.66668,7221.82609,7529.72867,7842.32872,8117.35847,8678.3631,8965.75301,9090.78847,9355.06069,9758.63985,9838.53758,10704.58069,11430.80422,11755.48985,12456.39938,12674.67316,13386.57392,14044.16431,14620.85149,14953.13845,14014.28542,13030.4983,12270.79939,12286.25348,12614.99619,13094.85201,13507.02652,12052.61047,12632.06068,11722.56402,12360.28586,13097.34284,14180.77345,15074.91577,16211.61121,17522.70718,18893.69888,20341.2392
bhr,Bahrain,5806.42126,6113.57442,6433.83646,6754.15639,7076.03695,7395.87264,7693.976,7976.28838,8236.43416,8478.74235,8756.57756,9082.87038,9467.44039,9928.5023,10431.50013,10978.08919,11535.02489,12133.74853,12801.28629,13253.02595,14256.46868,15398.74485,16237.4703,14168.41305,16724.88533,17767.33903,17756.37263,17468.60967,17826.64271,18836.7112,20377.63053,21942.42193,23010.33687,22946.268,23153.15977,23158.10488,24587.29695,25277.46286,26751.98349,30692.87707,33371.12659,37821.53853,38554.64977,40335.86077,42276.17941,43775.31912,46023.93608,48152.28816,50712.61814,51285.60742,50570.68669,51033.55385,51564.13976,51742.52452,51544.47812,52029.9827
bhs,Bahamas,14515.56074,15019.20812,15540.29636,16078.25251,16634.83951,17209.44532,17803.75456,18417.11855,19051.14672,20032.48063,21006.5085,22046.50143,23171.13356,24396.25192,25431.12822,26704.23956,27825.66243,29259.21532,26749.43601,26261.27993,24571.07015,25684.72965,20790.46344,17213.91559,17581.76383,18625.43327,20628.64519,25237.30203,26066.10447,25217.21761,27033.67651,28415.32718,30178.76064,31460.90827,31882.04786,32809.88034,33555.51227,34977.21183,35265.52856,33096.27048,31146.42027,30564.54437,30879.69567,31608.20591,32337.74524,32226.31104,33173.61209,34959.78396,35809.90008,36163.258,36572.30382,35540.32688,35281.75243,35913.06617,36219.61497,36111.97019
bih,Bosnia and Herzegovina,2065.374,2013.6329,1947.23149,2347.92853,1969.19973,2218.8413,2250.6642,2584.06598,2735.14121,2739.92333,2641.54288,2874.4279,3088.97772,3124.80559,3279.9514,3152.23135,3203.4821,3381.43218,3420.56189,3552.37387,3625.91324,3672.28171,3844.68805,3880.13919,3830.43402,4037.25319,4201.6264,4407.05494,4477.33639,4518.63518,4494.87566,4375.67589,4346.86937,4294.06615,4339.4595,4158.10071,3959.03695,3917.84438,3382.69127,2977.26812,2686.91091,2578.91658,2922.19843,3319.95497,4911.00456,6330.23353,7191.2874,7750.18337,8042.28229,8163.04151,8523.8492,8835.83828,9435.22034,9876.18345,10471.38047,11199.55834
