geo,name,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
cpv,Cape Verde,1195.76857,1196.70129,1166.8614,1157.70892,1158.57009,1106.75867,1085.18285,1161.1693,1198.28094,1231.20079,1185.6088,1136.79991,1153.60737,1150.25198,1215.4182,1261.77565,1288.2182,1309.00771,1348.63827,1386.89886,1397.17654,1401.65105,1418.56367,1163.60868,1168.22985,1089.32241,1170.10407,1181.24757,1214.2351,1355.01476,1409.44843,1540.4658,1593.26707,1721.31454,1749.12046,1809.0852,1914.83363,2028.04956,2043.33713,2024.53361,2150.38441,2277.53878,2590.59797,2863.98683,3106.39777,3374.78541,3714.96759,4075.96393,4548.5827,4606.10486,4778.18896,4911.28625,5314.50301,5610.24679,5990.66899,6796.34351
cri,Costa Rica,4269.71806,4748.59008,4628.89526,4946.55091,4626.73658,4801.48905,5170.32599,5126.62273,5331.41593,5248.16356,5359.03512,5553.83392,5603.01134,5924.04508,6106.28356,6235.12748,6495.27017,6666.72901,6899.90299,7125.94989,7496.77637,7831.50841,8009.48631,7923.55225,8096.71299,8540.35037,8743.31109,8879.8153,8706.23705,8684.63094,8093.5912,8258.83651,8840.60292,8809.87035,9135.01045,9454.01397,9743.6999,10308.61552,10704.10096,10686.90857,11390.84762,11899.82419,12134.53143,12339.65463,12220.60694,12612.74196,13231.92109,13514.25831,13782.50564,14029.94754,14292.54159,14704.92674,15154.97314,15556.8969,16492.96127,17639.71114
cub,Cuba,4078.78265,3766.94265,3789.39758,3851.40561,4024.16885,4317.04931,4342.78346,4494.25908,4503.00148,4641.80417,4526.40686,4528.89195,4863.92736,4784.46533,4964.17088,5470.40425,5092.92947,4977.31699,4750.01383,5075.36883,5254.22106,5664.12496,5898.93337,6137.98417,6262.23771,6510.88392,6886.13539,7043.3667,6954.92651,7531.42291,7691.16274,8112.91124,8761.44281,8934.07077,8908.33703,8629.46948,8870.97716,8918.49675,8471.93653,7200.58324,6184.81198,4862.05989,4938.90404,5297.96321,6054.18387,6420.08488,6439.50432,6872.32882,7647.73734,8119.34692,8434.14926,8752.4162,8910.08077,9263.86702,10706.87063,11208.20457
cyp,Cyprus,3833.68682,4145.89313,4147.8708,4232.73601,4687.93339,4924.01328,4616.66612,4792.27233,4327.03082,4715.23344,5151.80754,5373.2528,4801.3902,5791.29336,6096.19346,6830.27251,7081.21104,7659.21647,7794.31448,8683.05254,9143.99961,9230.83164,8366.06719,7059.36172,8435.12351,9757.38148,10443.52954,11378.21994,11911.00284,12769.47989,13914.34962,14826.1768,16302.08694,17244.95414,17985.31635,19394.01708,21364.1421,23485.43961,25494.36518,25192.58349,27005.16217,26707.0674,27865.32462,29909.31259,29960.92,30461.4128,32029.12605,33393.99497,35146.08645,36270.17002,37316.81467,37960.10239,39451.72924,40867.72119,42205.32005,43535.21052
cze,Czech Republic,8031.09032,7887.43473,8100.24556,8671.15839,9054.50472,9483.42246,10084.05614,10416.72163,11088.73092,11412.17287,11483.53063,11177.54137,11597.99888,11925.57213,12350.73773,12808.02005,13335.1309,13588.22739,13797.86745,14555.03093,15352.0885,16078.98074,16842.51275,17763.23107,18453.9675,19076.41237,19876.68998,20167.98305,20566.93729,20631.05234,20413.71072,20852.74835,21432.40988,22035.01643,22771.21465,23423.05974,24036.13734,24583.45516,24986.32037,22338.74406,22395.61217,22574.39415,23407.15139,25066.20402,26335.7542,26381.68137,26476.22833,27034.95194,28370.00746,29468.17141,30123.97847,31277.53326,32890.10004,35070.80206,37423.03942,39364.57918
deu,Germany,9140.19648,9808.23161,10445.74959,11505.69772,12216.0456,12788.19221,13209.90543,14027.7313,15008.53361,15461.63548,15940.38659,16180.30526,16954.25538,17630.91694,17906.34679,17796.41441,18585.75124,19656.71041,20365.9555,20786.34907,21504.76899,22375.38639,22479.69225,22281.95624,23344.82027,24012.82008,24647.38087,25577.36124,25805.79508,27121.30373,27836.24995,29012.08411,30584.30786,31941.42573,33096.02862,34141.92867,36045.81635,38087.76395,39759.50503,41736.55093,42496.39621,42044.68,43202.63203,43965.05515,44479.79098,45435.29613,46559.1771,47687.0973,49166.3611,50045.1131,49997.86247,49816.02816,50512.77605,51073.62335,53177.1987,54860.79382
dji,Djibouti,5023.12221,5110.79093,5286.65145,5339.04971,5424.52972,5500.60316,5511.18015,5688.90473,5912.81495,5975.74518,5916.58249,5991.55671,5961.19105,5973.2889,6020.95347,6033.19608,6017.05771,6026.18944,7188.75025,7282.23393,7184.08936,7178.50052,6540.4747,6825.47856,6901.59461,5579.56302,4682.96779,4526.54448,4395.78281,4317.95701,4268.91477,4205.39506,4135.91679,3980.54516,3723.4844,3519.47695,3360.30455,3072.00504,3044.7133,2808.72587,2887.77227,2822.36287,2787.40648,2748.777,2612.43559,2563.97073,2502.17419,2521.82882,2521.51529,2557.02477,2620.20795,2722.54103,2839.82841,2968.8721,3170.59332,3368.59384
dma,Dominica,1638.71648,1580.41278,1629.46769,1689.64107,1812.40079,1880.7563,1928.62995,1889.28246,1933.07354,1839.75058,2101.13703,2178.96844,2270.65852,1939.57984,2149.18836,2168.71815,2124.10363,2306.33243,2497.8932,2671.53459,2871.84343,3119.08591,3333.60186,3446.12334,3693.30126,3796.46694,4224.26168,3458.82874,3962.33673,4453.09522,4843.59317,5127.57246,5558.1148,5838.4442,6431.10379,7080.14906,7948.90968,8275.59278,9089.07232,9403.18294,9756.3215,10045.06334,10210.51102,10632.87836,11146.90091,11585.87961,12195.58049,12421.84869,12874.84616,13047.95775,12779.05165,13649.60702,14299.28551,14528.24573,15283.57887,16225.64409
dnk,Denmark,13968.8324,14587.80283,14763.53174,14700.16926,14746.48646,15578.83215,15757.76394,16753.44007,17159.03039,18062.2703,18857.84673,18781.4487,20235.45674,20861.73305,21222.87613,21844.97483,22646.87082,23891.23001,24047.36956,24467.48271,25362.42173,26084.3426,25595.10682,25135.06469,26499.84085,26768.79032,27085.54545,27923.56957,27653.15849,28805.21439,30861.56087,32384.45209,34543.92497,36699.50547,38753.83379,39506.14622,40674.22356,42051.648,43847.72888,44530.88861,45437.3738,45416.42687,47819.46913,49167.47801,50454.1103,51989.36147,53133.94754,54662.03012,56639.72033,57085.17502,57276.5858,57474.14866,59009.8913,60326.06387,62510.52475,62919.9468
dom,Dominican Republic,2401.22936,2300.68366,2357.94878,2406.25896,2552.4218,2608.81731,2643.15983,2608.21942,2685.06752,2539.96682,2881.33213,2967.77108,3057.90612,2608.07612,2843.29056,2835.43988,2750.38863,2945.95643,3243.68228,3491.18203,3783.39753,4139.0041,4266.49223,4361.72475,4536.78568,4640.88496,4627.84909,4715.3704,4932.7044,5294.14073,5460.32953,5719.976,5778.13687,5644.89192,5792.6855,6308.77127,6448.23418,6959.77875,6665.59455,6657.0443,7227.84269,7682.76033,7798.96874,8156.58946,8572.83191,9225.3976,9750.78017,10237.80096,10613.62976,10748.1998,11126.98037,10872.45789,11023.51759,11937.99638,12911.00071,13729.57546
dza,Algeria,3073.73804,3070.66946,3237.08061,3267.17552,3525.36294,3859.94946,3934.40805,4581.76523,4817.39614,4311.90546,3210.70758,3966.26478,4129.25551,4327.74364,3981.30004,4257.66176,4617.66339,4911.1349,5261.56648,4671.93285,5536.87644,5602.43567,5733.68075,5946.10935,6160.88078,6553.95899,7106.10454,7477.77487,7360.63927,7752.9392,8315.72291,8723.61297,9171.2838,9520.83224,9397.12329,9299.41344,9133.7044,9622.1214,9808.17009,9646.82978,9755.45558,9485.44217,9345.85996,9650.07633,9987.59876,10043.73117,10513.70897,10814.28121,11174.92144,11448.35008,11995.66873,12691.81772,13141.18565,13707.76136,13917.79015,14137.48114
ecu,Ecuador,4074.45927,4046.56425,4253.54369,4251.49015,4273.81907,4322.43145,4310.09564,4392.12118,4519.08842,4516.49392,4598.25776,4554.33959,4721.59746,4901.77672,4858.35383,4971.50539,5042.16589,5076.20904,5236.29392,5364.99775,5478.29855,5993.5916,6285.49694,6577.40633,6917.48163,6960.2119,7167.70442,7257.62482,7320.96798,7768.5526,7898.67856,7652.37518,7918.07166,8197.46344,8331.19734,7750.27996,8548.22737,8589.51253,8869.60584,9127.24965,9206.99814,9224.62462,9441.99823,9482.59963,9475.2017,9711.34345,9856.31187,9235.34312,9189.07161,9420.20124,9712.47644,9819.84503,10319.22268,10685.98054,10958.56386,10976.96621
egy,Egypt,1875.58289,1869.92672,1840.15837,1820.41979,1845.45038,1880.28776,1942.38785,1980.32955,2036.91939,2104.37459,2158.03629,2220.44915,2382.06523,2460.74198,2404.90635,2321.32153,2341.26154,2462.0001,2693.03494,2741.47062,2762.99573,2756.11795,2784.55714,2932.1491,3283.32485,3526.98331,3694.56117,3922.76589,4202.91027,4416.12398,4828.94611,5213.44937,5566.88508,5921.01005,6088.53987,6298.38344,6596.87103,6858.06476,7143.51701,7173.79022,7386.89506,7536.18156,7746.86118,8014.82187,8317.1324,8655.44958,8991.5405,9372.82134,9804.51932,9999.27693,10072.53787,10208.25965,10432.81398,10701.49106,11220.50957,11799.37304
eri,Eritrea,936.82038,960.36887,931.56312,950.92236,951.44321,914.99473,914.59783,908.92594,925.38622,940.21359,951.50667,967.12435,976.40723,1014.32784,1037.11589,1079.13418,1107.17886,1117.37591,1071.1095,1087.13104,1099.0928,1088.71452,1060.23112,986.70439,965.64259,946.56158,876.27991,950.24191,949.0696,947.74343,926.33874,964.29742,908.44337,775.43203,820.36955,901.0368,873.48635,837.16992,826.75314,900.9705,983.84062,1125.39824,1377.73256,1424.24426,1562.07465,1687.6309,1705.46446,1683.15648,1470.36504,1552.31716,1531.23529,1428.35682,1401.6936,1406.10549,1371.76749,1373.89436
esp,Spain,5359.76344,5267.37688,5657.62147,5829.11517,6244.06616,6417.40728,6735.74002,6575.79205,6713.18452,7464.93618,8149.40276,8895.20263,9299.56982,9909.73808,10539.67754,10928.57967,11459.26275,12404.30287,12715.64071,13197.81304,14267.62167,15291.42318,16117.53923,16208.59331,16640.66753,16946.89437,17099.9898,17049.83449,17327.13369,18030.86112,18837.81764,19532.39323,20184.95956,21081.35002,22106.23447,23838.06091,25781.88182,27937.10812,29891.57274,30796.14333,31130.60674,30746.48967,31494.09057,32419.39467,33257.2968,34440.83804,35913.286,37479.47157,39364.63231,40739.16636,41366.64971,41913.25931,42562.96373,43400.49882,44458.13989,45232.17425
est,Estonia,8354.09153,8524.7907,8743.54852,9272.08402,9927.84928,9900.00581,10400.58999,10047.62986,10743.00219,11157.41429,11268.94518,10845.25211,12075.95493,12600.21452,13056.8577,13482.71889,14125.47421,14180.08542,15120.4566,15358.32937,15279.69199,16395.35266,16641.99955,16891.97026,17145.23528,17401.76527,17661.53101,17926.03719,18192.18368,18670.61884,19164.62006,19638.05361,19947.38439,19755.82108,20094.06402,20082.29556,20937.06022,22207.27326,20345.04717,18572.02839,15150.42035,14448.27137,14431.88453,15335.05271,16257.43562,18460.72154,19357.41721,19165.71375,20974.85794,22290.85904,23898.59735,25814.06126,27675.34626,30444.97207,33599.05985,36298.32759
eth,Ethiopia,766.00994,795.51497,778.38295,799.47738,801.93538,777.52101,792.59933,784.21632,812.72881,829.16644,837.9316,898.00095,909.60929,936.69011,948.27063,967.41744,967.08899,973.58498,967.82704,976.20755,992.79471,985.65016,956.5435,913.95596,901.3995,884.03295,839.0458,878.5834,901.15744,918.08091,921.58247,968.76614,934.05475,832.26998,884.06361,972.85876,968.69703,959.73698,962.09165,850.7098,740.82403,785.91049,789.58654,805.14145,866.71967,869.42415,814.43772,820.02852,838.63896,874.26297,861.11509,815.90332,889.25057,962.42678,1032.8501,1114.84014
fin,Finland,9395.22517,9287.66878,9926.34669,10325.86653,10470.3715,10697.15211,10592.93296,11115.73133,11952.65115,12706.54661,12940.43631,13203.10686,13749.52704,14338.61694,14572.13791,14708.34276,14871.62975,16229.31157,17453.05519,17704.66542,18864.41439,19940.90773,20356.03795,20463.75311,20291.20976,20187.99182,20546.40561,21832.6068,22818.36187,24220.00087,25672.26763,26827.97965,28077.74851,29459.73968,30489.93334,32033.73789,34371.17765,37051.67735,37953.94831,35570.71297,34243.43019,33859.42944,35092.03437,36481.51624,37739.41814,40072.46267,42194.30897,43999.58534,46480.58365,47650.01092,48390.8085,49300.35799,51178.8478,52477.08912,54435.98489,57140.60224
fji,Fiji,3290.4896,3340.70877,3392.84786,3445.63419,3499.05406,3551.86574,3606.51817,3660.54772,3716.37951,3682.91466,3672.61971,3765.86588,3810.68658,3586.8484,3494.47726,3861.89181,4076.46853,4064.53605,4423.58696,4591.53575,4824.11159,5236.6731,5249.67092,5238.60359,5206.57276,5353.40883,5333.73032,5837.79267,5586.27003,6075.70689,6018.67409,5772.01015,6306.89629,6081.68925,6504.20134,6121.43676,6440.2871,7414.14502,8052.19916,7771.95776,8179.73473,8290.33205,8653.81683,8818.33069,9182.10108,8896.03395,8913.90533,9601.71178,9351.40908,9456.52944,9678.79793,9696.60146,10127.03988,10112.25152,10210.99365,10041.97504
fra,France,10923.24376,11096.22898,11488.62714,11952.98717,12352.8845,12854.17225,12952.67453,13093.10294,13827.29748,14314.0549,14863.91923,15368.56074,16096.8857,16622.09477,17208.50163,17773.1602,18299.29031,19297.55605,20137.54901,20834.99257,21452.86374,22390.0963,22897.7524,22448.95491,23179.75268,23768.34651,24336.44101,24913.96781,25027.44267,26389.6859,27749.22125,28510.63389,29385.61916,30236.83998,31152.35583,32266.81569,34339.76924,36560.39435,38340.95776,38621.61981,39043.07066,38730.86195,39524.73127,40292.26927,40731.78388,41621.57117,42931.17053,44195.66798,45733.71556,46304.54285,46495.2528,46636.54244,47646.61563,48195.83192,49169.89075,50116.61434
fsm,"Micronesia, Fed. Sts.",1579.48355,1608.64628,1637.67936,1666.58319,1696.64941,1727.87027,1758.9523,1789.89593,1823.26239,1853.92519,1888.27595,1921.20169,1953.98058,1987.88005,2022.8926,2057.74906,2093.70896,2130.76483,2167.65556,2189.36888,2200.99377,2942.60524,3376.50569,3335.90852,3275.65972,3261.35802,3330.92999,3280.86821,2937.6096,3109.05645,2924.04313,2884.95707,2680.47113,3034.39324,3186.80599,3169.21673,3280.84498,3223.3538,3271.86668,3437.24036,3492.34125,3686.84366,3591.53292,3793.82835,3648.89003,3411.68707,3496.79122,3532.29966,3685.98012,3747.83183,3759.02757,3816.94106,3702.98912,3787.95304,3800.24146,3751.28828
gab,Gabon,4110.60067,4226.18107,4346.56053,4471.71297,4596.41723,4721.971,4852.25156,4983.35699,5135.91834,5669.10243,5875.29647,6199.90832,6435.90697,6634.52747,6698.67239,7134.28187,7255.13138,7848.40235,8419.75817,9131.08158,9998.17236,10731.12124,14423.99363,16430.257,21531.70455,18490.04572,13782.78199,13786.8363,14105.48622,14576.78233,14984.76096,15576.51403,16559.5831,17064.36887,16750.54567,14130.77282,15226.86326,17527.20843,18735.95954,19849.95086,19165.65208,19754.815,20454.28489,21328.4122,21934.68178,22992.22661,23531.27309,21102.13434,20439.64102,20584.51941,20173.20857,20273.43083,20020.44574,20089.26663,19055.90344,19671.99521
gbr,UK,14019.89402,14452.01761,14867.83548,15234.74024,15248.52712,15306.95417,15133.41987,15518.12264,16107.12216,16337.70396,16279.32496,16688.87665,17354.60408,17554.44654,17677.32631,17849.0809,18582.80195,18512.21886,18739.87041,19044.11385,19602.26793,20723.62387,20181.17933,19879.80541,20250.75518,20584.23286,21248.413,21796.23412,21237.59308,22020.49757,23143.3956,24509.95028,25514.37411,26888.46795,28065.20793,29867.28196,32054.17249,33555.44784,34496.95059,33991.66487,34014.97468,34763.7296,35996.25289,36792.38627,37629.28701,39240.69074,40439.99642,41551.22969,43163.51653,44115.61785,44751.84782,45963.07531,46828.68704,47788.26355,48571.69291,49459.8415
geo,Georgia,4487.6344,4655.86255,4854.91446,5235.80894,5696.74519,5773.23802,6161.50984,6047.20179,6566.7348,6837.57771,6921.30149,6673.82373,7442.72387,7780.97589,8276.80655,8708.06055,9012.74015,9357.97277,10394.2261,10552.59889,10753.54965,11345.23467,11481.88856,11620.18845,11760.15417,11901.80579,12045.1636,12190.24817,12337.08029,12921.36456,13529.69818,14209.44886,15198.3905,16003.06383,15917.84559,15714.92327,16758.77202,16130.36973,13783.49522,10771.22918,5891.12345,4141.145,3756.70721,3968.25928,4530.22791,5129.05014,5383.07997,5623.01002,5817.64099,6168.02458,6546.59987,7304.22141,7757.61197,8531.25642,9368.12491,10588.92675
gha,Ghana,2155.41316,2376.36025,2588.56573,2345.80395,2481.07621,2411.40813,2365.97238,2564.73961,2663.85574,2669.50063,2710.18899,2713.00652,2680.77965,2627.55885,2542.06169,2501.44196,2451.01181,2474.36265,2668.07401,2759.35644,2592.30615,2607.51353,2703.43004,2305.14723,2168.66602,2166.01088,2299.24229,2193.22947,2120.07511,2130.51667,1980.03931,1828.30151,1962.96956,2067.87633,2155.38754,2268.29752,2408.03656,2529.12332,2624.40597,2704.39344,2750.73982,2813.74152,2849.08258,2909.96893,2985.54065,3053.16446,3130.84259,3200.71521,3247.06701,3299.50233,3364.62378,3454.94981,3561.94033,3683.02601,3826.47521,3899.59845
gin,Guinea,843.12523,873.03099,920.77015,948.86884,979.09921,1009.90174,1034.71597,1088.21265,1159.46738,1235.85592,1296.16395,1246.33165,1258.30588,1325.12115,1346.00714,1348.59137,1365.0331,1364.04728,1322.36654,1378.86456,1397.19481,1403.10699,1462.69836,1488.8086,1592.41558,1524.6003,1611.09627,1575.36372,1596.71053,1586.43587,1594.8762,1591.74989,1574.99792,1608.45858,1623.06193,1644.26539,1712.33872,1745.35977,1771.44373,1749.15762,1768.63686,1825.61959,1863.55106,1915.86853,1964.80389,2049.52671,2107.83081,2157.74764,2188.59249,2261.24514,2362.78757,2357.32725,2379.76742,2421.05132,2416.21988,2539.14707
gmb,Gambia,1441.25518,1467.64715,1519.8652,1535.35927,1559.57935,1582.54546,1589.74735,1643.56673,1706.61741,1817.3162,1759.72989,1723.64609,1811.29329,1945.6445,2089.72194,2067.18154,2050.31846,2136.03671,1975.95422,1917.2311,1864.59711,1977.21257,2035.4414,2098.56803,2011.40012,1982.56459,2020.01775,1897.2,1846.03456,1878.54216,2162.83742,2280.61915,2159.69879,2196.46783,2192.01876,2208.44558,2239.03468,2307.05593,2401.07258,2388.93146,2387.56295,2384.36613,2323.82556,2286.40783,2291.54085,2329.00688,2358.3421,2456.78966,2538.65544,2628.79005,2500.01615,2601.61094,2728.61837,2606.00889,2531.6846,2544.14242
gnb,Guinea-Bissau,730.30121,777.93221,931.76016,893.20066,1014.41599,1078.78726,1110.24788,1120.02709,1176.95319,1243.81947,1278.60069,1373.83647,1479.83008,1557.6652,1516.47506,1627.23173,1661.07842,1726.32255,1575.7643,1488.55878,1556.78238,1541.5019,1580.51254,1634.06783,1641.37699,1503.47128,1680.16131,1690.33912,1394.89211,1426.49389,1504.64967,1454.7367,1533.53018,1596.35078,1567.66244,1649.71533,1713.53293,1782.91059,1869.81915,1917.98104,1897.51065,1881.09839,1886.97037,1924.86871,2078.82589,2175.43222,1680.13503,1919.75711,1903.68346,1951.61367,1974.42194,1933.98218,1921.90486,2004.37282,2015.43233,2023.64221
gnq,Equatorial Guinea,948.59623,959.31284,982.61282,983.5472,995.90621,1000.39744,1002.49564,1029.68895,1100.88969,1145.49779,1201.71391,1301.18758,1406.90459,1468.31309,1472.51518,1507.76533,1499.13317,1436.92376,1365.15297,1393.42569,1405.42848,1526.06809,1642.65439,1892.68494,1991.39724,2104.00067,1955.8599,1706.7999,1616.58724,1669.33765,1630.13607,1610.52577,1534.03602,1652.00685,1545.01174,1559.79293,1565.42955,1519.1171,1528.37002,1446.50216,1775.02341,1873.78472,2054.45085,2277.44211,3466.74465,7910.89398,9302.7773,11168.49676,12428.04693,19105.05954,21418.4856,22887.27786,29356.54335,32249.49451,33027.962,36215.3295
grc,Greece,4315.55582,4809.76743,4916.00387,5209.09933,5600.02851,5915.04995,6119.86242,6269.41424,6440.96328,7016.12328,7150.66623,7873.63652,8507.74867,9290.83149,9786.39876,10196.33998,10853.78153,11944.9569,12903.7381,13781.49362,15239.68079,16022.01979,15118.33209,15881.5749,16698.9772,16963.21032,17886.49787,18249.99688,18240.18704,18834.04867,19305.8625,19556.47488,20368.70828,21280.52509,21723.46165,21682.37811,23153.52436,24638.00364,25181.86487,25801.45602,25926.40668,25495.28289,26005.0042,26552.61526,27000.08238,27990.94872,28920.16909,29692.65924,30878.47385,32216.03115,33660.65195,35613.94532,37508.87544,37901.02852,40277.6367,41648.95477
grd,Grenada,2062.53129,2089.90949,2115.72091,2142.46621,2170.12941,2198.6947,2226.92486,2256.03803,2283.59974,2320.46261,2356.90561,2392.93199,2430.91659,2468.46758,2507.93656,2546.95541,2585.52762,2625.97028,2667.10144,2851.26555,3062.41857,3327.83727,3546.39009,3667.06132,4027.28035,4299.97236,4571.72032,4854.26059,4789.45957,4998.75777,5249.86985,5365.81464,5568.55336,5965.89483,6483.96911,7280.00964,7776.9867,8439.88999,9104.65452,9160.83911,9000.22308,8738.35371,8802.3012,8911.1178,9231.93243,9620.54023,10670.16518,11320.63989,11784.00236,11474.64677,11808.09279,12852.81801,12702.39748,14316.43725,13676.87097,14444.55033
gtm,Guatemala,4066.69475,4063.45872,3987.82271,3938.70348,4139.06217,4213.76711,4249.70452,4295.42221,4240.66691,4263.98418,4257.0217,4498.06719,4538.61539,4618.76667,4753.1385,4825.38773,5118.05599,5224.04994,5378.6663,5511.34871,5741.75176,5950.02054,6142.89107,6079.32745,6338.19427,6634.16355,6763.79142,6879.32092,6931.89294,7131.84267,6936.18111,6717.54133,6713.20315,6621.1339,6525.27232,6654.42778,6867.93831,7150.77592,7388.6505,7447.41196,7625.15936,7732.43887,7831.20231,8005.50984,8042.14632,8192.37277,8397.28597,8522.20231,8628.76971,8647.82894,8791.80193,8830.89407,8923.16468,9031.22567,9328.01386,9726.22375
guy,Guyana,5015.67983,4871.35722,4732.80235,4597.39236,4465.10937,4337.22446,4213.71183,4093.26221,3975.85802,4044.26624,3979.71494,3403.71261,3696.39673,3990.38152,4103.50201,4184.57587,4141.84489,4351.94295,4470.82771,4546.68756,4377.10866,4400.49271,4680.18142,5070.50176,5128.23675,4937.77201,4796.61434,4665.74408,4716.8932,5002.49762,4634.14766,4300.08129,4393.71695,4568.54235,4652.25668,4793.26369,4704.09272,4656.38378,4685.76954,4997.49118,5388.2967,5824.29391,6319.74569,6642.9817,7186.29781,7653.1008,7551.02935,7804.18729,7728.71826,7940.0353,8068.25115,8052.1375,8215.14184,8099.96146,8568.65446,9244.30508
hnd,Honduras,2695.99528,2813.04918,2526.08763,2500.87653,2666.84522,2673.54446,2689.46765,2691.56759,2693.70365,2657.99469,2690.78429,2648.16835,2670.18772,2816.43951,2852.55197,2880.41137,2945.37955,2851.15959,2824.62286,2833.66664,2884.87548,2997.02065,3071.09498,3021.48652,3215.39153,3417.6235,3616.2973,3642.97367,3527.61978,3582.2829,3514.42897,3479.93689,3627.15007,3757.23116,3820.55862,4006.50618,4086.12012,4209.16881,4286.05578,4115.38801,4248.73832,4404.7969,4284.03958,4412.20306,4394.23965,4481.09113,4522.07565,4371.92555,4561.67337,4567.90827,4621.84604,4714.39261,4888.62686,5062.7798,5270.98125,5470.17678
hrv,Croatia,3851.0444,4170.01813,4529.98763,5341.8298,5100.21882,6040.69644,6185.21721,6726.6467,7377.48015,7902.21777,8090.64105,8936.91488,9763.70139,10029.14735,10734.51721,11078.13726,11555.65779,12426.13228,13303.92869,14373.84398,14768.84809,15353.35686,16683.55788,17170.57877,17893.97494,19406.79378,20875.72381,22118.34692,22530.01634,22610.03803,22613.47362,22257.90561,22779.05141,22817.67189,23485.03031,23498.37237,23345.42301,23037.22598,21461.25297,17277.46231,15708.64175,14517.23895,15338.35256,16595.35979,17942.95279,19279.7003,19845.06083,19860.49259,20744.13228,22211.13259,23571.12738,24989.31837,26127.9304,27321.1578,28790.69754,30337.54416
hti,Haiti,2545.89657,2429.05925,2589.35849,2445.94101,2617.95444,2422.81688,2570.52681,2407.79247,2517.0988,2381.16302,2550.87441,2378.6202,2288.73724,2270.45964,2227.24405,2141.29576,2180.98067,2216.86213,2242.62673,2361.39958,2346.6488,2418.16003,2518.15528,2503.84398,2669.50396,2636.41161,2716.15138,2867.7511,3022.82263,3116.60677,3084.52518,3098.14881,3133.18883,3177.25055,3178.63221,3176.72314,3274.77059,3267.07158,3313.01695,3353.08359,3151.5041,2956.04315,2581.17541,2813.1864,2903.70714,2955.77874,2993.55058,3046.33572,3044.25409,3002.41933,3001.23422,3067.16904,2993.79455,3055.95983,3082.35804,3194.91253
hun,Hungary,5591.55201,5616.2209,5721.1834,6137.43383,5784.5707,6281.44665,6646.50946,6848.08954,7142.42813,7439.07646,7690.49485,8057.31382,8446.29038,8453.05409,8869.1814,9303.1459,9340.23936,9542.42421,9438.91891,9861.7974,10181.79487,10725.00178,11096.46686,11470.68766,11606.32178,12279.7659,12643.75533,12704.02721,12728.63008,13669.41701,14631.51792,15031.80301,15847.55428,16087.45254,16677.44739,17625.96608,18350.2493,18978.39435,18794.3011,16755.06305,16428.0007,16524.52167,17204.5095,17651.42471,17853.51831,18586.93313,19508.16283,20313.6607,21395.97367,22440.53385,23689.88094,24810.57948,26212.32986,27496.65624,28710.4327,28925.20692
idn,Indonesia,1682.55781,1727.26117,1789.92535,1797.55399,1777.08815,1853.36058,1742.51179,1772.32224,1804.82933,1880.05982,1823.5712,1703.25132,1722.16812,1691.54813,1660.37933,1599.87547,1689.57667,1763.08857,1868.39696,1919.50355,2048.56232,2239.2172,2299.27904,2277.51597,2374.09935,2485.8756,2556.31583,2619.89321,2772.21041,3045.78063,3065.40187,3183.46353,3405.93682,3504.05483,3703.3602,3902.79491,4166.85146,4569.10123,5005.11544,5284.45849,5529.30001,5804.77999,6132.63087,6519.85186,6905.46846,7104.00042,6065.98711,6012.31921,6206.67205,6331.96468,6514.41786,6721.55555,6954.3854,7239.70057,7518.89093,7870.61403
ind,India,1196.77539,1236.5361,1251.98323,1247.41922,1272.25797,1225.87375,1277.06001,1266.18742,1318.57799,1317.8477,1310.28844,1341.07306,1399.14951,1310.41647,1276.88619,1337.65754,1342.32032,1412.60241,1418.27406,1390.58053,1341.57615,1352.02183,1324.41111,1398.23066,1375.05721,1432.58359,1465.4077,1345.41599,1393.44577,1511.96147,1571.25029,1682.26634,1735.49936,1804.14789,1860.23531,1916.3413,2100.00417,2231.76189,2356.2242,2321.69207,2385.24668,2440.49377,2537.09128,2661.22006,2795.24264,2840.73312,2948.70454,3125.36652,3176.02294,3260.4152,3312.59814,3502.41996,3706.63429,3925.41317,4167.70953,4410.92781
irl,Ireland,7522.18394,7733.88401,7810.40639,8083.39723,7979.81211,7942.03458,7866.14077,8222.17375,8656.34681,9095.97579,9346.75265,9703.61805,10025.89624,10155.57393,10166.83078,10655.07239,11493.46845,12152.33078,12299.18066,12561.69147,13147.93994,13519.01743,13830.3755,14335.60563,14267.41353,15171.59051,15991.68502,16193.69271,16463.18209,17589.00924,18344.19386,18542.22809,19507.86915,20312.53712,20615.30014,21787.34709,23254.05915,25421.21232,28251.92424,28764.63841,29692.85038,30457.74441,32238.06218,35306.3914,37876.89188,41749.3297,45034.20279,49376.26882,53465.98999,55573.33959,57938.15556,58832.30607,61737.45623,63909.85596,65357.44119,66810.4223
